排名,电影名称,导演,演员,上映年份,制作国家,类型,评分,评价人数,短评
154,喜宴,李安 Ang Lee,,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,321091,中国家庭的喜怒哀乐忍。
155,七武士,黑泽明 Akira Kurosawa,,1954,日本,动作 冒险 剧情,9.3,178592,时代悲歌。
156,花样年华,王家卫 Kar Wai Wong,,2000,中国香港,剧情 爱情,8.7,542756,偷情本没有这样美。
157,黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,,2003,美国,动作 科幻,8.8,412839,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
158,头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,美国,喜剧 动画 冒险,8.8,553500,愿我们都不用长大，每一座城堡都能永远存在。
159,电锯惊魂,詹姆斯·温 James Wan,,2004,美国,悬疑 惊悚 恐怖,8.7,483146,真相就在眼前。
160,三块广告牌,马丁·麦克唐纳 Martin McDonagh,,2017,美国 英国,剧情 犯罪,8.7,760185,怼天怼地，你走后，她与世界为敌。
161,你的名字。,新海诚 Makoto Shinkai,,2016,日本,剧情 爱情 动画,8.5,1271249,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
162,卢旺达饭店,特瑞·乔治 Terry George,,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,298980,当这个世界闭上双眼，他却敞开了怀抱。
163,达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,,2013,美国,剧情 传记 同性,8.8,417738,Jared Leto的腿比女人还美！
164,疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,,2013,美国,喜剧 动画 冒险,8.7,778307,老少皆宜，这就是好莱坞动画的魅力。
165,上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西 法国,犯罪 剧情,9.0,280068,被上帝抛弃了的上帝之城。
166,谍影重重3,保罗·格林格拉斯 Paul Greengrass,,2007,美国 德国,动作 悬疑 惊悚,8.8,387300,像吃了苏打饼一样干脆的电影。
167,英雄本色,吴宇森 John Woo,,1986,中国香港,剧情 动作 犯罪,8.6,486226,英雄泪短，兄弟情长。 
168,风之谷,宫崎骏 Hayao Miyazaki,,1984,日本,动画 奇幻 冒险,8.9,331713,动画片的圣经。
169,九品芝麻官,王晶 Jing Wong,,1994,中国香港 中国大陆,剧情 喜剧 古装,8.7,595425,
170,惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,,1960,美国,悬疑 惊悚 恐怖,9.0,253251,故事的反转与反转，分裂电影的始祖。
171,心迷宫,忻钰坤 Yukun Xin,,2014,中国大陆,剧情 犯罪 悬疑,8.7,469409,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
172,纵横四海,吴宇森 John Woo,,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,383488,香港浪漫主义警匪动作片的巅峰之作。
173,海街日记,是枝裕和 Hirokazu Koreeda,,2015,日本,剧情 家庭,8.8,403790,是枝裕和的家庭习作。
174,岁月神偷,罗启锐 Alex Law,,2010,中国香港 中国大陆,剧情 家庭,8.7,541786,岁月流逝，来日可追。
175,记忆碎片,克里斯托弗·诺兰 Christopher Nolan,,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,558513,一个针管引发的血案。
176,忠犬八公物语,Seijirô Kôyama,,1987,日本,剧情,9.2,176739,养狗三日，便会对你终其一生。
177,荒蛮故事,达米安·斯兹弗隆 Damián Szifron,,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,404818,始于荒诞，止于更荒诞。
178,爱在午夜降临前,理查德·林克莱特 Richard Linklater,,2013,美国 希腊,剧情 爱情,8.9,352082,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
179,绿里奇迹,Frank Darabont,,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,292496,天使暂时离开。
180,色，戒,李安 Ang Lee,,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.6,685756,假戏真情，爱欲深海
